title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Jade,1995,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,"{""Fior d' Italia (601 Union Street at Stockton)"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Lombard & Hyde Streets"": """", ""Hall of Justice (850 Bryant Street)"": """", ""War Memorial Opera House (401 Van Ness Avenue)"": ""In 1945 the United Nations had its first conference at The War Memorial Opera House."", ""Palace of Fine Arts"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""Sheraton Palace Hotel (639 Market Street)"": ""The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909."", ""Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"": ""The Japanese Hagiwara family invented \""Chinese\"" fortune cookies in the tea-garden"", ""Washington Square (North Beach)"": ""Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach.""}",0,0
Crackers,1984,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Jack Warden,Sean Penn,"{""24th Street between Mission Street and Potrero Avenue"": """", ""La Rondalla (Valencia and 20th Streets)"": """"}",0,0
Dim Sum: A Little Bit of Heart,1985,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong,"{""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Li Po (916 Grant Avenue at Washington, Chinatown)"": """", ""San Francisco International Airport"": ""SFO has a museum dedicated to aviation history.""}",0,0
The Other Sister,1999,Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,"{""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""Transbay Terminal (Mission Street at 1st Street)"": ""Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.""}",0,0
The Parent Trap,1998,Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers,Lindsay Lohan,Dennis Quaid,,"{""Administration Building (Treasure Island)"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
Dream with the Fishes,1997,3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette,Brad Hunt,,"{""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII. "", ""Pier 39"": """"}",0,0
Mother,1996,Paramount Pictures,Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,,"{""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
The Princess Diaries,2001,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,"{""724 Brazil Avenue"": """", ""Fisherman's Wharf"": ""Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf."", ""Firestation #3 (Brazil Avenue and Athens Street)"": """", ""Cliff House (1090 Point Lobos Avenue)"": ""The Musee Mechanique, which Julie Andrews' character visits in the movie, was at the time housed under the Cliff House."", ""Broadway Tunnel (Broadway between Powell and Larkin)"": """", ""Baker Beach"": """", ""2601 Lyon Street"": """"}",0,0
The Sweetest Thing,2002,Columbia Pictures Corp.,Columbia Pictures,Roger Kumble,Nancy M. Pimental,Cameron Diaz,Christina Applegate,,"{""Golden Gate National Recreation Area"": ""The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.""}",0,0
Star Trek VI: The Undiscovered Country,1991,Paramount Pictures,Paramount Pictures,Nicholas Meyer,Nimoy,William Shatner,Leonard Nimoy,George Takei,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Gentleman Jim,1942,Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,Alexis Smith,Jack Carson,"{""The Barbary Coast"": ""The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.""}",0,0
Under the Tuscan Sun,2003,Touchstone Pictures,Buena Vista Pictures,Audrey Wells,Audrey Wells,Diane Lane,Sandra Oh,,"{""Mecca Restaurant (2029 Market Street)"": """"}",0,0
Until the End of the World,1991,Village Roadshow Pictures,Warner Bros. Pictures,Wim Wenders,Wim Wenders,Solveig Dommartin,,,"{""Tosca Caf\u00e9 (242 Columbus Avenue, North Beach)"": """"}",0,0
Just One Night,2000,Panoptic Pictures,First Look International,Alan Jacobs,Alan Jacobs,Timothy Hutton,Maria Grazia Cucinotta,,"{""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.""}",0,0
Marnie,1964,Universal Pictures,Universal Pictures,Alfred Hitchcock,Jay Presson Allen,Tippi Hedren,Sean Connery,Martin Gabel,"{""On Board the SS President Cleveland, docked at Pier 50"": """"}",0,0
What Dreams May Come,1998,Polygram Filmed Entertainment,Polygram Filmed Entertainment,Vincent Ward,Ron Bass,Robin Williams,"Cuba Gooding, Jr.",,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
What the Bleep Do We Know,2004,Captured Light,Samuel Goldwyn Films,William Arntz,William Arntz & Betsy Chasse,Marlee Matlin,,,"{""Golden Gate National Recreation Area"": ""The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.""}",0,0
Knife Fight,2013,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,"{""California & Hyde Streets"": """", ""City Hall"": """", ""Green & Laguna Streets"": """"}",0,0
Hard to Hold,1984,Universal Pictures,Universal Pictures,Larry Peerce,"Thomas Hedley, Jr. ",Rick Springfield,,,"{""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.""}",0,0
A Smile Like Yours ,1997,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,"{""Hills Brothers Plaza (Embarcadero at Harrison Street)"": """", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""San Francisco International Airport"": ""SFO has a museum dedicated to aviation history. ""}",0,0
Shadow of the Thin Man,1941,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Harry Kurnitz,William Powell,Myrna Loy,Barry Nelson,"{""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.""}",0,0
I Remember Mama,1948,RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka,"{""Grant Avenue (North Beach)"": """", ""The Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.""}",0,0
High Anxiety,1977,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman,"{""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF."", ""Hyatt Regency Hotel (5 Embarcadero Center)"": """", ""Conservatory of Flowers, Golden Gate Park"": ""The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.""}",0,0
Take the Money and Run,1969,American Broadcasting Company (ABC),Cinerama Releasing Corporation,Woody Allen,Woody Allen,Woody Allen,Janet Margolin,,"{""Bank of America (1455 Stockton Street)"": """", ""Golden Gate Park"": """", ""Mission Street"": """"}",0,0
The Jazz Singer,1927,Warner Bros. Pictures,Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson,May McAvoy,Warner Oland,"{""Coffee Dan's (O'Farrell Street at Powell)"": """"}",0,0
The Lineup,1958,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,"{""The Embarcadero"": """", ""Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"": ""The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite."", ""Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"": ""The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species."", ""2090 Jackson Street"": """", ""Pier 41"": """", ""Sutro Baths (Point Lobos Avenue)"": """", ""War Memorial Opera House (401 Van Ness Avenue)"": ""In 1945 the United Nations had its first conference at The War Memorial Opera House.""}",0,0
Burglar,1987,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,"{""California Academy of Sciences (Golden Gate Park)"": ""Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States."", ""1627 Haight Street"": """", ""Green Valley Restaurant (510 Green Street Near Grant)"": """", ""1400 18th Street"": """"}",0,0
The Ten Commandments,1956,Paramount Pictures,Paramount Pictures,Cecil B. DeMille,"Jesse L. Lasky, Jr.",Charlton Heston,Yul Brynner,Anne Baxter,"{""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Exteriors of the church were used.""}",0,0
The Lady from Shanghai,1947,Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,"{""Mandarin Theatre (1021 Grant Avenue)"": ""The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986."", ""Former Hall of Justice (750 Kearny Street at Washington)"": """", ""Golden Gate Park"": ""The Playland amusement park where \""Hall of Mirrors\"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House."", ""Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"": ""The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.""}",0,0
Alexander's Ragtime Band,1938,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,"{""San Francisco Bay"": """", ""Cliff House (1090 Point Lobos Avenue)"": ""In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.""}",0,0
The Fan,1996,Mandalay Entertainment,Columbia TriStar,Tony Scott,Phoef Sutton,Robert De Niro,Wesley Snipes,,"{""Candlestick Park (602 Jamestown Ave.)"": ""Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.""}",0,0
Indiana Jones and the Last Crusade,1989,Paramount Pictures,Paramount Pictures,Steven Spielberg,Jeffrey Boam,Harrison Ford,Sean Connery,,"{""Administration Building (Treasure Island)"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
Love & Taxes,2014,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,"{""The Marsh Theatre (1062 Valencia Street)"": """", ""20 Hill Street"": """", ""198 Gough Street"": """"}",0,0
Tucker: The Man and His Dream,1988,Lucasfilm,Paramount Pictures,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau,"{""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.""}",0,0
The Times of Harvey Milk,1984,UCLA Film and Television Archive,TC Films International,Rob Epstein,Rob Epstein,Harvey Milk,Harvey Firestein,Anne Kronenberg,"{""The Castro"": ""From 1910-1920 the Castro was called \""Little Scandinavia\"" because of its high concentration of residents of Scandinavian ancestry.""}",0,0
The Competition,1980,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,"{""California Academy of Sciences (Golden Gate Park)"": ""Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States."", ""Pier 39"": """"}",0,0
Star Trek II : The Wrath of Khan,1982,Paramount Pictures,Paramount Pictures,Nicholas Meyer,Jack B. Sowards,William Shatner,Leonard Nimoy,George Takei,"{""Golden Gate Park"": """"}",0,0
Swingin' Along,1961,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Charles Barton,Jameson Brewer,Tommy Noonan,Barbara Eden,Peter Marshall,"{""Powell Street"": """"}",0,0
Point Blank,1967,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,Keenan Wynn,"{""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison."", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.""}",0,0
Birdman of Alcatraz,1962,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,"{""Pier 43 1/2"": """", ""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison.""}",0,0
Chan is Missing,1982,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,"{""Golden Dragon Restaurant (816 Washington Street at Grant)"": """", ""Li Po (916 Grant Avenue at Washington, Chinatown)"": """"}",0,0
Family Plot,1976,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,"{""Nob Hill"": ""Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""2230 Sacramento Street"": ""Called \""1001 Franklin\"" in the film.""}",0,0
The Matrix,1999,Silver Pictures,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers,Keanu Reeves,Laurence Fishburne,,"{""skyline/ exterior scenes"": """"}",0,0
Dark Passage,1947,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruce Bennett,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Filbert Steps, Filbert Street"": """", ""The Malloch Apartment Building (1360 Montgomery Street)"": """"}",0,0
A Smile Like Yours,1997,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,"{""75 California Street"": """", ""Hills Brothers Plaza (Embarcadero at Harrison Street)"": """", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""San Francisco International Airport"": ""SFO has a museum dedicated to aviation history.""}",0,0
Good NeighborSam,1964,Columbia Pictures Corporation,Columbia Pictures,David Swift,James Fritzell,Jack Lemmon,Romy Schneider,Dorothy Provine,"{""Various locations in San Francisco during driving scene"": """"}",0,0
Phenomenon,1996,Touchstone Pictures,Buena Vista Pictures,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
Escape From Alcatraz,1979,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood,Patrick McGoohan,Robert Blossom,"{""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison.""}",0,0
Susan Slade,1961,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves,Troy Donahue,Connie Stevens,Dorothy McGuire,"{""On Board the SS President Cleveland, docked at Pier 50"": """"}",0,0
Dream for an Insomniac,1996,Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,"{""Baker Beach"": ""From 1986-1990, the north end of Baker Beach was home to the Burning Man festival."", ""Elbo Room (647 Valencia Street)"": ""This location is called the \""Caf\u00e9 Blue Eyes\"" in the film.""}",0,0
All About Eve,1950,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,"{""Curran Theater (445 Geary Street)"": ""Called the Shubert Theatre in the film.""}",0,0
Serial,1980,Paramount Pictures,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull,Tuesday Weld,,"{""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.""}",0,0
Kamikaze Hearts,1986,Leger/Bashore,Facets Multimedia Distribution,Juliet Bashore,Juliet Bashore,Tigr,Sharon Mitchell,,"{""Market Street Between Noe and Sanchez"": """"}",0,0
The Master,2012,H.H. Project,Weinstein Company,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,Joaquin Phoenix,,"{""Pier 7/ Embarcadero"": """"}",0,0
50 First Dates,2004,Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing,Adam Sandler,Drew Barrymore,,"{""Rainforest Caf\u00e9 (145 Jefferson Street)"": """"}",0,0
Can't Stop the Music,1980,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose,"{""101 Henry Adams Place"": """"}",0,0
Quicksilver,1986,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon,Jami Gertz,Paul Rodriguez,"{""Pacific Stock Exchange"": """"}",0,0
